project,summary,skills,key_features,concepts,project_type,github_url
minio,"MinIO is a high-performance, S3 compatible object store. It is designed for speed and scalability, powering AI/ML, analytics, and data-intensive workloads. MinIO is no longer maintained, with alternatives available. It was released under the GNU AGPL v3.0 license.","[""Go"", ""Kubernetes"", ""S3""]","[""Object Storage"", ""S3 Compatibility"", ""High-Performance""]","[""Cloud Storage"", ""Cloud Native"", ""Multi-Cloud"", ""Object Storage"", ""S3 API""]",Cloud Storage Solution,https://github.com/minio/minio
etcd,etcd is a distributed reliable key-value store for the most critical data of a distributed system. It is designed to provide a highly available and fault-tolerant storage solution. etcd is used in distributed systems and is a key component of Kubernetes. It provides a reliable way to store and manage data in a distributed environment.,"[""Go""]","[""Distributed key-value store"", ""Reliable data storage""]","[""Distributed Systems"", ""Consensus"", ""Raft""]",Database,https://github.com/etcd-io/etcd
kubernetes-the-hard-way,"A tutorial on setting up Kubernetes from scratch, optimized for learning and understanding each task required to bootstrap a cluster. The results are not production-ready and may receive limited community support. The guide is intended for learning purposes, taking a detailed approach to ensure comprehension. It is not suitable for those seeking a fully automated tool.","[""Kubernetes""]","[""Kubernetes cluster setup""]","[""Kubernetes"", ""CI/CD"", ""Microservices""]",Tutorial,https://github.com/kelseyhightower/kubernetes-the-hard-way
kong,"Kong is an API and AI gateway that serves as a central entry point for managing APIs and microservices. It is designed to be cloud-native and supports Kubernetes and serverless architectures. Kong provides features such as API management, authentication, and caching. It is built using Lua and supports various technologies such as OpenAI proxy and reverse proxy.","[""Lua"", ""Kubernetes"", ""API Gateway""]","[""API Management"", ""Microservice Support"", ""Reverse Proxy""]","[""API Gateway"", ""Microservices"", ""Cloud Native"", ""CI/CD"", ""Authentication"", ""Caching"", ""Serverless""]",API Gateway,https://github.com/Kong/kong
istio,"Istio is an open source service mesh that connects, secures, controls, and observes services. It provides a transparent layer for managing microservices. Istio supports features like circuit breakers, fault injection, and request routing. It integrates with platforms like Kubernetes and Consul.","[""Go"", ""Kubernetes"", ""Consul"", ""Envoy""]","[""Service mesh"", ""API management"", ""Circuit breaker"", ""Request routing"", ""Fault injection""]","[""Microservices"", ""Service mesh"", ""Circuit breaker"", ""Fault injection"", ""CI/CD""]",Service mesh,https://github.com/istio/istio
k9s,"K9s is a Kubernetes CLI that provides a terminal UI to interact with Kubernetes clusters, making it easier to navigate, observe, and manage applications. It continually watches Kubernetes for changes and offers subsequent commands to interact with observed resources. The project aims to simplify the Kubernetes management experience. K9s is an open-source project maintained by its creator.","[""Go"", ""Kubernetes""]","[""Terminal UI"", ""Kubernetes cluster management"", ""Resource observation""]","[""Kubernetes"", ""CLI"", ""Terminal UI""]",Kubernetes Management Tool,https://github.com/derailed/k9s
k3s,"k3s is a lightweight version of Kubernetes, designed to be more resource-efficient and easier to use. It is built using Go and is compatible with Kubernetes (k8s). The project aims to provide a more accessible and streamlined Kubernetes experience. k3s is suitable for resource-constrained environments and edge computing.","[""Go"", ""Kubernetes""]","[""Lightweight Kubernetes"", ""Resource-efficient""]","[""Kubernetes"", ""Containerization"", ""Orchestration"", ""Microservices""]",Container Orchestration,https://github.com/k3s-io/k3s
seaweedfs,"SeaweedFS is a distributed storage system designed to handle billions of files with O(1) disk access and effortless horizontal scaling. It supports object storage, file systems, and Iceberg tables. SeaweedFS is built for scalability and high performance. It provides a reliable and efficient storage solution for large-scale applications.","[""Go"", ""Kubernetes""]","[""Distributed storage"", ""Object storage"", ""File systems"", ""Iceberg tables"", ""Horizontal scaling""]","[""Distributed systems"", ""Replication"", ""Erasure coding"", ""Cloud storage"", ""Scalability""]",Distributed Storage System,https://github.com/seaweedfs/seaweedfs
nacos,"Nacos is a dynamic service discovery, configuration, and service management platform for building AI cloud-native applications. It provides an easy-to-use platform for managing distributed configurations and services. Nacos supports various technologies such as Dubbo, Istio, and Kubernetes. It is designed for microservices architecture and cloud-native applications.","[""Java"", ""Spring Cloud"", ""Dubbo""]","[""Dynamic Service Discovery"", ""Configuration Management"", ""Service Management""]","[""Microservices"", ""Cloud Native"", ""Service Discovery"", ""Configuration Management"", ""Distributed Configuration""]",Cloud Native Platform,https://github.com/alibaba/nacos
minikube,"Minikube is a tool for running Kubernetes locally. It allows users to develop, test, and demonstrate Kubernetes applications on their local machine. Minikube supports a variety of container runtimes and can be used with a range of Kubernetes versions. It provides a convenient way to get started with Kubernetes development.","[""Go"", ""Kubernetes"", ""Containers""]","[""Local Kubernetes cluster management"", ""Container runtime support""]","[""Containers"", ""Kubernetes"", ""CI/CD"", ""Microservices""]",DevOps Tool,https://github.com/kubernetes/minikube
consul,"Consul is a distributed, highly available, and data center aware solution to connect and configure applications across dynamic, distributed infrastructure. It provides features such as service discovery and configuration for applications. Consul is designed to work with dynamic infrastructure and supports multiple data centers. It integrates with various technologies such as Kubernetes and ECS.","[""Go""]","[""Multi-Datacenter"", ""Service Discovery"", ""API Gateway"", ""Service Mesh""]","[""Service Discovery"", ""Microservices"", ""Distributed Systems""]",Infrastructure Management,https://github.com/hashicorp/consul
helm,"Helm is a tool for managing Charts, which are packages of pre-configured Kubernetes resources. It allows users to find and use popular software packaged as Helm Charts. Helm is used for managing Kubernetes resources. It is a package manager for Kubernetes.","[""Go""]","[""Chart management"", ""Kubernetes resource management""]","[""Kubernetes"", ""Package Manager"", ""CI/CD""]",DevOps Tool,https://github.com/helm/helm
90DaysOfDevOps,"A structured learning map for DevOps, covering principles, processes, tooling, and use cases. The project started as a personal learning journey and has become a community resource. It covers a range of topics related to DevOps. The project aims to provide a foundational knowledge of DevOps.","[""Shell"", ""Ansible"", ""Terraform"", ""Kubernetes""]","[""DevOps principles"", ""DevOps processes"", ""Tooling"", ""Use Cases""]","[""DevOps"", ""Containers"", ""Infrastructure as Code (IaC)"", ""CI/CD""]",DevOps,https://github.com/MichaelCade/90DaysOfDevOps
authelia,"Authelia is an OpenID Certified Single Sign-On Multi-Factor portal for web apps, providing secure authentication and authorization. It supports various authentication methods, including 2FA, MFA, and OAuth2. The project is built using Go and can be deployed using Docker and Kubernetes. Authelia also supports LDAP and other security features.","[""Go"", ""Docker"", ""Kubernetes"", ""LDAP"", ""OAuth2""]","[""Single Sign-On"", ""Multi-Factor Authentication"", ""OpenID Connect"", ""Push Notifications"", ""WebAuthn""]","[""Authentication"", ""OAuth"", ""2FA"", ""MFA"", ""CI/CD"", ""Docker"", ""Microservices"", ""Security""]",Authentication Portal,https://github.com/authelia/authelia
faas,OpenFaaS is a serverless functions framework that makes it easy for developers to deploy event-driven functions and microservices to Kubernetes. It allows packaging code or existing binaries in OCI-compatible images for highly scalable endpoints with auto-scaling and metrics.,"[""Go"", ""NodeJS"", ""Docker"", ""Kubernetes"", ""Prometheus""]","[""Serverless Functions"", ""Event-driven functions"", ""Microservices"", ""Auto-scaling"", ""Metrics""]","[""Serverless"", ""Functions-as-a-Service"", ""Microservices"", ""CI/CD"", ""Docker""]",Serverless Functions Framework,https://github.com/openfaas/faas
docker_practice,"A project to learn and understand Docker and container technologies with real DevOps practice. It covers the core concepts, principles, and practical skills of Docker. The project aims to provide a comprehensive understanding of Docker from scratch. It is based on real-world cases and best practices.","[""Go"", ""Docker"", ""Kubernetes"", ""Linux""]","[""Containerization"", ""Virtualization"", ""DevOps""]","[""Container"", ""Docker"", ""Microservices"", ""CI/CD"", ""DevOps""]",DevOps,https://github.com/yeasy/docker_practice
dapr,"Dapr is a portable runtime for building distributed applications across cloud and edge, combining event-driven architecture with workflow orchestration. It enables durable execution, AI agents, and secure distributed applications. Dapr supports various technologies such as containers, Kubernetes, and serverless architecture. It provides a robust framework for building microservices-based applications.","[""Go"", ""Kubernetes"", ""Docker""]","[""event-driven architecture"", ""workflow orchestration"", ""state management"", ""pub/sub messaging""]","[""Microservices"", ""Event-driven architecture"", ""Serverless"", ""Containers"", ""CI/CD"", ""Docker""]",Distributed Systems,https://github.com/dapr/dapr
rancher,"Rancher is an open source container management platform built for organizations that deploy containers in production. It makes it easy to run Kubernetes everywhere, meet IT requirements, and empower DevOps teams. The platform provides a complete container management solution. It is built using Go and supports Docker and Kubernetes.","[""Go"", ""Docker"", ""Kubernetes""]","[""Container Management"", ""Kubernetes Support"", ""Orchestration""]","[""Containerization"", ""Orchestration"", ""CI/CD"", ""Microservices"", ""Docker""]",Container Management Platform,https://github.com/rancher/rancher
pulumi,"Pulumi is an Infrastructure as Code platform that allows users to manage and provision cloud infrastructure using any programming language. It supports major cloud providers such as AWS, Azure, and GCP. Pulumi also supports containers, Kubernetes, and serverless computing. It provides a flexible and scalable way to manage infrastructure.","[""Go"", ""C#"", ""F#"", ""JavaScript"", ""Python"", ""TypeScript"", ""Azure"", ""AWS"", ""GCP"", ""Kubernetes"", ""Cloud Computing""]","[""Infrastructure as Code"", ""Multi-language support"", ""Cloud provider support"", ""Container support"", ""Kubernetes support"", ""Serverless support""]","[""Infrastructure as Code"", ""Cloud Computing"", ""Containers"", ""Kubernetes"", ""Serverless"", ""CI/CD""]",Infrastructure as Code,https://github.com/pulumi/pulumi
kuboard-press,"Kuboard is a free management interface for Kubernetes, providing features such as multi-cluster management, permission management, monitoring, and logging. It is compatible with Kubernetes version 1.13 and above. Kuboard has been widely adopted by over 1000 enterprises and has gained 10000+ GitHub stars.","[""JavaScript"", ""Docker"", ""Kubernetes""]","[""Multi-cluster management"", ""Permission management"", ""Monitoring"", ""Logging""]","[""Microservices"", ""Docker"", ""Kubernetes"", ""CI/CD""]",Microservices Management Interface,https://github.com/eip-work/kuboard-press
cilium,"Cilium is an eBPF-based networking, security, and observability solution for Kubernetes. It provides a simple flat Layer 3 network and enforces network policies on L3-L7 using an identity-based security model. Cilium also implements distributed load balancing and can replace kube-proxy. It is designed to work with containers and Kubernetes.","[""Go"", ""eBPF"", ""Kubernetes"", ""CNI""]","[""Networking"", ""Security"", ""Observability"", ""Load Balancing"", ""Network Policy Enforcement""]","[""eBPF"", ""Networking"", ""Security"", ""Observability"", ""Load Balancing"", ""Kubernetes"", ""Microservices"", ""CI/CD""]",Networking and Security,https://github.com/cilium/cilium
eShopOnContainers,"A cross-platform .NET sample microservices and container-based application that runs on Linux, Windows, and macOS. It is powered by .NET 7, Docker Containers, and Azure Kubernetes Services. The project supports various development environments, including Visual Studio, VS for Mac, and CLI-based environments. The project has been moved to a new repository for active development.","[""C#"", "".NET"", ""Docker"", ""Azure Kubernetes Services""]","[""Microservices architecture"", ""Containerization"", ""Cross-platform support""]","[""Microservices"", ""Docker"", ""CI/CD"", ""Containerization""]",E-commerce application,https://github.com/dotnet-architecture/eShopOnContainers
argo-cd,"Argo CD is a declarative continuous deployment tool for Kubernetes, providing a simple and efficient way to manage and deploy applications. It supports various tools and technologies such as GitOps, Helm, and Kustomize. Argo CD automates the deployment of applications to Kubernetes, making it easier to manage complex deployments. It is designed to work seamlessly with Kubernetes and other DevOps tools.","[""Go"", ""Kubernetes"", ""Docker"", ""Helm"", ""Kustomize"", ""JSONNet"", ""Git""]","[""Declarative Continuous Deployment"", ""Automated Deployment"", ""GitOps Support""]","[""CI/CD"", ""Continuous Deployment"", ""DevOps"", ""GitOps"", ""Docker"", ""Kubernetes"", ""Microservices""]",DevOps Tool,https://github.com/argoproj/argo-cd
lens,Lens is a Kubernetes dashboard that provides a user-friendly interface for managing cloud-native applications and containers. It is designed to simplify the process of running Kubernetes. Lens offers a range of features to support devops and Kubernetes management. It provides a comprehensive platform for managing Kubernetes resources.,"[""Kubernetes"", ""Cloud-Native"", ""Containers""]","[""Kubernetes Dashboard"", ""Kubernetes UI"", ""Cloud-Native Management""]","[""Kubernetes"", ""Cloud-Native"", ""Containers"", ""DevOps""]",Cloud Management Platform,https://github.com/lensapp/lens
authentik,"Authentik is an authentication solution that provides a glue for various authentication protocols. It supports OAuth2, OIDC, SAML, and other authentication standards. The project aims to simplify authentication and authorization for applications. It is designed to work with Kubernetes and provides a reverse proxy for secure authentication.","[""Python"", ""Kubernetes""]","[""Authentication"", ""Authorization"", ""Reverse Proxy""]","[""Authentication"", ""Authorization"", ""OAuth2"", ""OIDC"", ""SAML"", ""SSO""]",Authentication Platform,https://github.com/goauthentik/authentik
recommenders,"This project provides best practices on recommendation systems, utilizing Python and focusing on AI, machine learning, and data science. It includes tutorials and operationalization techniques. The project leverages Jupyter Notebook and Kubernetes for deployment. The goal is to create effective recommendation algorithms and engines.","[""Python"", ""Jupyter Notebook"", ""Kubernetes""]","[""Recommendation algorithms"", ""Rating and ranking systems"", ""Tutorial and operationalization""]","[""Machine Learning"", ""Artificial Intelligence"", ""Deep Learning"", ""Recommendation Systems""]",Machine Learning,https://github.com/recommenders-team/recommenders
containerd,containerd is an open and reliable container runtime. It is designed to provide a robust and efficient way to manage containers. The project is written in Go and is related to Kubernetes and Docker. It is a part of the Cloud Native Computing Foundation (CNCF).,"[""Go"", ""Docker"", ""Kubernetes""]","[""Container Management"", ""Runtime Environment""]","[""Containerization"", ""Microservices"", ""CI/CD""]",Container Runtime,https://github.com/containerd/containerd
teleport,"Teleport provides a secure way to access and protect infrastructure, offering features such as single sign-on, access controls, and audit capabilities. It supports various protocols, including SSH, Kubernetes, and RDP. Teleport enables secure tunnels and enforces Role-Based and Attribute-Based Access Control. It works with multiple resources, including servers, databases, and cloud APIs.","[""Go"", ""Golang"", ""Postgres""]","[""Single sign-on"", ""Access controls"", ""Audit capabilities"", ""Secure tunnels""]","[""Authentication"", ""RBAC"", ""ABAC"", ""SSH"", ""Kubernetes"", ""CI/CD""]",Security,https://github.com/gravitational/teleport
microservices-demo,"A cloud-first microservices demo application showcasing a web-based e-commerce app with 10 microservices. It demonstrates how to modernize enterprise applications using Google Cloud products. The application allows users to browse items, add them to the cart, and purchase them. It is used by Google to showcase the use of Google Cloud products.","[""Go"", ""gRPC"", ""Kubernetes"", ""Istio"", ""Terraform"", ""Skaffold"", ""Kustomize""]","[""E-commerce functionality"", ""Cart management"", ""Purchase processing""]","[""Microservices"", ""Cloud Computing"", ""Kubernetes"", ""gRPC"", ""Istio"", ""CI/CD"", ""Containerization""]",E-commerce application,https://github.com/GoogleCloudPlatform/microservices-demo
kubectx,"kubectx is a tool to switch between contexts (clusters) on kubectl faster, and launch readonly shells for each context. It also includes kubens, a tool to switch between Kubernetes namespaces easily.","[""Go"", ""kubectl"", ""Kubernetes""]","[""Context switching"", ""Namespace switching"", ""Readonly shells""]","[""Kubernetes"", ""CLI tools"", ""Container Orchestration""]",DevOps Tool,https://github.com/ahmetb/kubectx
DevOps-Roadmap,"A step-by-step guide on how to become a DevOps engineer, with links to relevant learning resources. The roadmap provides a comprehensive overview of the DevOps landscape, helping learners navigate the field and make informed decisions about what to learn next.","[""Python"", ""Go"", ""Docker"", ""Kubernetes"", ""Linux"", ""AWS"", ""Azure""]","[""Learning resources"", ""Step-by-step guide"", ""Comprehensive overview""]","[""DevOps"", ""Continuous Integration"", ""Continuous Delivery"", ""CI/CD"", ""Docker"", ""Kubernetes"", ""Microservices""]",DevOps,https://github.com/milanm/DevOps-Roadmap
ingress-nginx,"Ingress NGINX Controller for Kubernetes, providing ingress control functionality. The project is set to retire in March 2026. Existing deployments will not be broken, but no further releases or updates will be made. The project utilizes Go as its primary programming language.","[""Go"", ""Kubernetes"", ""NGINX""]","[""Ingress control"", ""Kubernetes integration""]","[""Ingress Controller"", ""Microservices"", ""CI/CD""]",Kubernetes Controller,https://github.com/kubernetes/ingress-nginx
gvisor,"gVisor is an Application Kernel for Containers, running in userspace. It provides a kernel-like environment for containers, leveraging technologies like Docker and Kubernetes. The project focuses on sandboxing and security. It is designed to work with Linux and OCI standards.","[""Go"", ""Docker"", ""Kubernetes"", ""Linux""]","[""Container sandboxing"", ""Userspace kernel""]","[""Containers"", ""Docker"", ""Kubernetes"", ""Sandboxing"", ""Microservices""]",System Software,https://github.com/google/gvisor
tensorflow,"TensorFlow is an open-source machine learning framework for everyone, providing a wide range of tools and libraries for deep learning and neural networks. It supports distributed training and has a large community of contributors. TensorFlow is primarily used for building and training machine learning models. It has a wide range of applications, including computer vision, natural language processing, and robotics.","[""C++"", ""Python""]","[""Deep Learning"", ""Neural Networks"", ""Distributed Training""]","[""Machine Learning"", ""Deep Learning"", ""Neural Networks"", ""Distributed""]",Machine Learning Framework,https://github.com/tensorflow/tensorflow
models,"This repository provides models and examples built with TensorFlow, demonstrating best practices for modeling and aiming to improve transparency and reproducibility. It includes training logs on TensorBoard.dev for certain models. The project is designed for TensorFlow users to take full advantage of the framework for research and product development. The repository offers a collection of modeling solutions.","[""Python"", ""TensorFlow""]","[""Modeling solutions"", ""Training logs"", ""TensorBoard.dev integration""]","[""Machine Learning"", ""TensorFlow""]",Machine Learning,https://github.com/tensorflow/models
keras,"Keras is a multi-backend deep learning framework that supports JAX, TensorFlow, PyTorch, and OpenVINO. It allows for effortless building and training of models for various applications, including computer vision, natural language processing, and more. Keras provides accelerated model development and state-of-the-art performance. It also enables datacenter-scale training, making it suitable for large-scale deployments.","[""Python"", ""JAX"", ""TensorFlow"", ""PyTorch"", ""OpenVINO""]","[""Multi-backend support"", ""Accelerated model development"", ""State-of-the-art performance"", ""Datacenter-scale training""]","[""Deep Learning"", ""Machine Learning"", ""Neural Networks"", ""Computer Vision"", ""Natural Language Processing""]",Deep Learning Framework,https://github.com/keras-team/keras
Real-Time-Voice-Cloning,This project implements real-time voice cloning using transfer learning from speaker verification to multispeaker text-to-speech synthesis. It utilizes a vocoder for real-time functionality and was developed as a master's thesis. The project enables cloning a voice in 5 seconds to generate arbitrary speech in real-time. It leverages deep learning techniques for voice cloning.,"[""Python"", ""PyTorch"", ""TensorFlow""]","[""Real-time voice cloning"", ""Text-to-speech synthesis"", ""Vocoder""]","[""Deep Learning"", ""Transfer Learning"", ""Text-To-Speech Synthesis""]",Machine Learning,https://github.com/CorentinJ/Real-Time-Voice-Cloning
supervision,"A repository providing reusable computer vision tools, utilizing deep learning and machine learning techniques for image and video processing.","[""Python"", ""PyTorch"", ""TensorFlow""]","[""Image classification"", ""Object detection"", ""Instance segmentation"", ""Video processing""]","[""Computer Vision"", ""Deep Learning"", ""Machine Learning""]",Computer Vision,https://github.com/roboflow/supervision
TensorFlow-Examples,"A TensorFlow tutorial and examples for beginners, supporting both TF v1 and v2, with a focus on deep learning and machine learning.","[""Python"", ""TensorFlow"", ""Jupyter Notebook""]","[""Notebooks with explanation"", ""Source codes"", ""Traditional 'raw' TensorFlow implementations"", ""Latest TensorFlow API practices""]","[""Machine Learning"", ""Deep Learning""]",Tutorial,https://github.com/aymericdamien/TensorFlow-Examples
ray,"Ray is an AI compute engine that consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads. It supports various machine learning tasks, including deep learning, reinforcement learning, and hyperparameter optimization. Ray is designed for large-scale AI applications and provides a scalable and flexible platform for AI development. It integrates with popular libraries like PyTorch and TensorFlow.","[""Python"", ""PyTorch"", ""TensorFlow""]","[""Distributed Runtime"", ""AI Libraries"", ""ML Workload Acceleration""]","[""Machine Learning"", ""Deep Learning"", ""Reinforcement Learning"", ""Distributed Computing"", ""Hyperparameter Optimization""]",AI Compute Engine,https://github.com/ray-project/ray
bert,BERT is a TensorFlow project that provides code and pre-trained models for natural language processing tasks. It includes smaller BERT models for environments with restricted computational resources. The models can be fine-tuned and are effective in knowledge distillation. The goal is to enable research in institutions with fewer computational resources.,"[""Python"", ""TensorFlow""]","[""Pre-trained models"", ""Smaller BERT models"", ""Fine-tuning"", ""Knowledge distillation""]","[""Natural Language Processing"", ""Machine Learning""]",NLP,https://github.com/google-research/bert
photoprism,"PhotoPrism is an AI-powered app for privately browsing, organizing, and sharing photos and videos. It uses the latest technologies to tag and find pictures. The app is self-hosted and can be used on premises or in a private cloud.","[""Go"", ""TensorFlow""]","[""Photo and video browsing"", ""Organizing and sharing"", ""AI-powered tagging""]","[""AI"", ""Machine Learning"", ""Private Cloud"", ""Self-Hosted""]",Photo Management App,https://github.com/photoprism/photoprism
frigate,Frigate is a complete and local NVR designed for Home Assistant with AI object detection. It uses OpenCV and Tensorflow to perform realtime object detection locally for IP cameras. A GPU or AI accelerator is highly recommended for optimal performance. It has tight integration with Home Assistant.,"[""TypeScript"", ""OpenCV"", ""Tensorflow""]","[""Realtime object detection"", ""Local NVR"", ""IP camera support"", ""Home Assistant integration""]","[""Object Detection"", ""AI"", ""Realtime Processing"", ""GPU Acceleration""]",Home Automation,https://github.com/blakeblackshear/frigate
netron,"Netron is a visualizer for neural network, deep learning, and machine learning models. It supports various formats such as ONNX, TensorFlow Lite, and PyTorch. The project allows users to view and explore machine learning models. Netron has experimental support for several other frameworks.","[""JavaScript"", ""PyTorch"", ""TensorFlow"", ""Keras"", ""NumPy"", ""Core ML""]","[""Model visualization"", ""Multi-format support""]","[""Machine Learning"", ""Deep Learning"", ""Neural Network"", ""Model Visualization""]",Machine Learning Tool,https://github.com/lutzroeder/netron
data-science-ipython-notebooks,"This repository contains a collection of data science Python notebooks, covering topics such as deep learning, big data, and machine learning. It utilizes various libraries and frameworks, including TensorFlow, Keras, and scikit-learn. The notebooks also explore data analysis and visualization using matplotlib, pandas, and NumPy. Additionally, it includes examples of working with AWS and command lines.","[""Python"", ""TensorFlow"", ""Theano"", ""Keras"", ""scikit-learn"", ""Spark"", ""Hadoop MapReduce"", ""HDFS"", ""matplotlib"", ""pandas"", ""NumPy"", ""SciPy"", ""AWS""]","[""Deep learning implementations"", ""Big data processing"", ""Data analysis and visualization"", ""Machine learning examples"", ""AWS integration""]","[""Deep learning"", ""Machine Learning"", ""Big data"", ""Data science"", ""Cloud computing""]",Data Science,https://github.com/donnemartin/data-science-ipython-notebooks
d2l-en,"An interactive deep learning book with multi-framework code, math, and discussions, adopted at 500 universities worldwide. It covers various topics including computer vision, natural language processing, and reinforcement learning. The book provides a hands-on approach to learning deep learning concepts. It is used in courses such as STAT 157 at UC Berkeley.","[""Python"", ""JAX"", ""Keras"", ""MXNet"", ""PyTorch"", ""TensorFlow""]","[""Multi-framework code"", ""Math explanations"", ""Discussions"", ""Interactive learning""]","[""Deep Learning"", ""Machine Learning"", ""Computer Vision"", ""Natural Language Processing"", ""Reinforcement Learning""]",Education,https://github.com/d2l-ai/d2l-en
spleeter,"Spleeter is a Deezer source separation library that includes pretrained models for audio processing tasks. It utilizes deep learning techniques to separate audio into different components such as vocals, drums, and bass. The library is built using Python and TensorFlow. It provides a powerful tool for music and audio processing applications.","[""Python"", ""TensorFlow""]","[""Audio source separation"", ""Pretrained models""]","[""Deep Learning"", ""Machine Learning""]",Audio Processing Library,https://github.com/deezer/spleeter
DeepSpeech,DeepSpeech is an open source embedded speech-to-text engine that can run in real time on various devices. It uses machine learning techniques based on Baidu's Deep Speech research paper. The project is now discontinued. It supports offline and on-device speech recognition.,"[""C++"", ""TensorFlow""]","[""Speech-to-Text"", ""Offline Speech Recognition"", ""On-Device Speech Recognition""]","[""Machine Learning"", ""Deep Learning"", ""Neural Networks"", ""Speech Recognition""]",Speech Recognition Engine,https://github.com/mozilla/DeepSpeech
handson-ml,"This project teaches the fundamentals of Machine Learning in Python, containing example code and solutions to exercises from the book Hands-on Machine Learning with Scikit-Learn and TensorFlow. It is now deprecated and has been replaced by newer versions. The project utilizes Jupyter Notebooks for its implementation. It focuses on deep learning, neural networks, and machine learning concepts.","[""Python"", ""Scikit-Learn"", ""TensorFlow"", ""Jupyter Notebook""]","[""Machine Learning Notebooks"", ""Example Code"", ""Exercise Solutions""]","[""Machine Learning"", ""Deep Learning"", ""Neural Networks""]",Machine Learning,https://github.com/ageron/handson-ml
Mask_RCNN,"Mask R-CNN is an implementation for object detection and instance segmentation using Keras and TensorFlow. It includes source code, training code, pre-trained weights, and evaluation metrics. The code is designed to be easy to extend and is documented for research purposes.","[""Python"", ""Keras"", ""TensorFlow""]","[""Object Detection"", ""Instance Segmentation"", ""Multi-GPU Training""]","[""Machine Learning"", ""Deep Learning"", ""Computer Vision""]",Computer Vision,https://github.com/matterport/Mask_RCNN
best-of-ml-python,"A ranked list of awesome machine learning Python libraries, updated weekly. It covers various topics such as automl, data analysis, data science, and deep learning. The list includes popular libraries like Keras, PyTorch, and scikit-learn. It is a valuable resource for machine learning enthusiasts and professionals.","[""Python"", ""Keras"", ""PyTorch"", ""scikit-learn"", ""TensorFlow"", ""JAX""]","[""Ranked list of machine learning libraries"", ""Weekly updates""]","[""Machine Learning"", ""Deep Learning"", ""NLP"", ""Data Analysis"", ""Data Visualization""]",Machine Learning Repository,https://github.com/lukasmasuch/best-of-ml-python
ncnn,"ncnn is a high-performance neural network inference framework optimized for mobile, embedded, and desktop deployment. It supports CPU and Vulkan GPU backends and provides tools for converting models from PyTorch and ONNX. ncnn is used in various Tencent applications, including QQ, Qzone, WeChat, and Pitu.","[""C++"", ""Vulkan""]","[""Neural Network Inference"", ""Model Conversion"", ""CPU and GPU Support""]","[""Deep Learning"", ""Neural Networks"", ""Inference"", ""Machine Learning""]",Artificial Intelligence Framework,https://github.com/Tencent/ncnn
100-Days-Of-ML-Code,"A 100-day machine learning project with tutorials and implementations in Chinese. It covers supervised and unsupervised learning, including data preprocessing, linear regression, logistic regression, and more.","[""Python"", ""Keras"", ""TensorFlow"", ""Jupyter Notebook""]","[""Supervised Learning"", ""Unsupervised Learning"", ""Data Preprocessing"", ""Linear Regression"", ""Logistic Regression""]","[""Machine Learning"", ""Deep Learning"", ""Supervised Learning"", ""Unsupervised Learning""]",Machine Learning Tutorial,https://github.com/MLEveryday/100-Days-Of-ML-Code
reinforcement-learning,"This repository provides code, exercises, and solutions for popular Reinforcement Learning algorithms, serving as a learning tool to complement theoretical materials.","[""Python"", ""Tensorflow"", ""OpenAI Gym"", ""Jupyter Notebook""]","[""Reinforcement Learning Algorithms"", ""Exercises and Solutions""]","[""Reinforcement Learning"", ""Machine Learning""]",Machine Learning,https://github.com/dennybritz/reinforcement-learning
datasets,"The largest hub of ready-to-use datasets for AI models with fast, easy-to-use and efficient data manipulation tools. It provides a wide range of datasets for various AI applications. The project aims to make data manipulation easy and efficient. It supports multiple AI models and datasets.","[""Python"", ""PyTorch"", ""TensorFlow"", ""NumPy"", ""Pandas""]","[""Data manipulation tools"", ""Ready-to-use datasets""]","[""AI"", ""Machine Learning"", ""Deep Learning"", ""Natural Language Processing"", ""Computer Vision""]",AI Dataset Hub,https://github.com/huggingface/datasets
onnx,"The ONNX project is an open standard for machine learning interoperability, allowing models to be transferred between different frameworks and platforms. It supports various machine learning frameworks such as Keras, PyTorch, and TensorFlow. The project enables seamless integration and deployment of machine learning models across different environments. It aims to provide a common format for machine learning models, facilitating collaboration and innovation in the field.","[""Python"", ""Keras"", ""PyTorch"", ""TensorFlow"", ""Scikit-learn""]","[""Machine Learning Model Transfer"", ""Framework Interoperability"", ""Model Deployment""]","[""Machine Learning"", ""Deep Learning"", ""Neural Networks"", ""Model Serving""]",Machine Learning Framework,https://github.com/onnx/onnx
onnxruntime,"ONNX Runtime is a cross-platform, high performance ML inferencing and training accelerator that supports models from deep learning frameworks and classical machine learning libraries, providing optimal performance by leveraging hardware accelerators and graph optimizations.","[""C++"", ""PyTorch"", ""TensorFlow"", ""scikit-learn""]","[""ML inferencing"", ""training accelerator"", ""hardware acceleration"", ""graph optimizations""]","[""Machine Learning"", ""Deep Learning"", ""Neural Networks"", ""Hardware Acceleration""]",Machine Learning Framework,https://github.com/microsoft/onnxruntime
screenity,"Screenity is a free and privacy-friendly screen recorder with no limits. It is built using JavaScript and provides features such as annotation, audio, and video recording. The project is sponsored by Recall.ai, an API for desktop recording. Screenity is a powerful tool for screen capture and screencasting.","[""JavaScript"", ""ffmpeg"", ""TensorFlow""]","[""Screen recording"", ""Annotation"", ""Audio and video recording""]","[""Chrome Extension""]",Productivity Tool,https://github.com/alyssaxuu/screenity
